0,1,2,3,No-step
0.2734355765410924,0.7265644234589077,21.0,21.0,58_21_2
0.2916771453613025,0.7083228546386973,21.0,21.0,60_21_2
0.3704769357607904,0.6295230642392096,21.0,21.0,62_21_1
0.3842682446334102,0.6157317553665898,21.0,21.0,62_21_4
0.29127254894193205,0.7087274510580679,21.0,21.0,78_21_1
0.2826838069096583,0.7173161930903414,21.0,21.0,78_21_4
0.28464558352033636,0.7153544164796638,21.0,21.0,78_21_6
0.25593958247450926,0.7440604175254907,21.0,21.0,80_21_0
0.2629751742215298,0.7370248257784701,21.0,11.0,2_11_0
0.23811654685829012,0.7618834531417099,21.0,11.0,16_11_0
0.4628959196391221,0.5371040803608779,11.0,11.0,18_11_0
0.32498771206674226,0.6750122879332576,21.0,11.0,19_11_0
0.3135474747390394,0.6864525252609608,21.0,11.0,22_11_0
0.29958213334604694,0.7004178666539529,21.0,11.0,28_11_1
0.2695199304395081,0.7304800695604919,21.0,11.0,34_11_0
0.3133437557953192,0.6866562442046805,21.0,11.0,43_11_0
0.2801646960907666,0.7198353039092334,21.0,11.0,52_11_0
0.2770273044955994,0.7229726955044004,21.0,11.0,64_11_0
0.3779216426300175,0.6220783573699825,21.0,11.0,70_11_0
0.2980326142122,0.7019673857877998,21.0,21.0,1_21_1
0.23467815050691507,0.7653218494930847,21.0,21.0,3_21_1
0.2771097531173439,0.7228902468826561,21.0,21.0,5_21_5
0.2694770627801033,0.7305229372198967,21.0,21.0,7_21_3
0.2516322657747453,0.7483677342252546,21.0,21.0,11_21_1
0.2738817068834006,0.7261182931165996,21.0,21.0,12_21_2
0.2749378908235222,0.7250621091764777,21.0,21.0,16_21_0
0.2719129801994786,0.7280870198005214,21.0,21.0,19_21_0
0.2996370565192519,0.7003629434807482,21.0,21.0,19_21_2
0.2992902610214999,0.7007097389785001,21.0,21.0,19_21_3
0.32888836620332307,0.6711116337966772,21.0,21.0,19_21_4
0.5246111496196304,0.4753888503803694,11.0,21.0,21_21_0
0.2607497237887864,0.7392502762112134,21.0,21.0,21_21_6
